Name,Annotation status,Annotation area,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
AR_PM_PC_HT_20181105_Q01.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86.000,0.000,0.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q01_Random.jpg,Confirmed,(Imported points; not specified),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.000,0.000,0.000,0.000,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q02.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,62.000,0.000,0.000,0.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q02_Random.jpg,Confirmed,(Imported points; not specified),0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,0.000,0.000,0.000,53.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q03.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.000,0.000,0.000,0.000,0.000,0.000,0.000,49.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q03_Random.jpg,Confirmed,(Imported points; not specified),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.000,0.000,0.000,1.000,0.000,0.000,0.000,52.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q04.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39.000,0.000,0.000,0.000,0.000,0.000,0.000,61.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q04_Random.jpg,Confirmed,(Imported points; not specified),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,0.000,0.000,73.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q05.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,0.000,0.000,68.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q05_Random.jpg,Confirmed,(Imported points; not specified),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.000,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q06.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,71.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,1.000
AR_PM_PC_HT_20181105_Q06_Random.jpg,Confirmed,(Imported points; not specified),0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,53.000,0.000,0.000,0.000,0.000,0.000,0.000,41.000,0.000,0.000,0.000,2.000
AR_PM_PC_HT_20181105_Q07.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,67.000,0.000,0.000,0.000,0.000,0.000,2.000,24.000,0.000,0.000,0.000,0.000
