Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,339,1879,SC,robot,2020-07-18 15:57:11+00:00,SC,78,MAEN,20,Unc,1,CRB,1,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,339,2100,SC,robot,2020-07-18 15:57:11+00:00,SC,58,MAEN,42,MOG,0,Unc,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,566,110,SC,robot,2020-07-18 15:57:11+00:00,SC,94,MAEN,6,MOG,0,Unc,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,566,331,MAEN,robot,2020-07-18 15:57:11+00:00,MAEN,51,SC,49,CRB,0,MOG,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,566,552,SC,robot,2020-07-18 15:57:11+00:00,SC,100,WPOT,0,Unc,0,MOG,0,MAEN,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,566,773,SC,robot,2020-07-18 15:57:11+00:00,SC,83,MAEN,17,CRB,0,Unc,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,566,994,SC,robot,2020-07-18 15:57:11+00:00,SC,87,WPOT,10,MAEN,2,MOG,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,566,1216,SC,robot,2020-07-18 15:57:11+00:00,SC,100,WPOT,0,Unc,0,MAEN,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,566,1437,SC,robot,2020-07-18 15:57:11+00:00,SC,65,MAEN,35,MOG,0,Unc,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,566,1658,SC,robot,2020-07-18 15:57:11+00:00,SC,70,MAEN,29,Unc,1,MOG,0,CRB,0
