Name,Annotation status,Annotation area,CRB,MOG,WPOT,SC,LICHEN,SHAD,Unc,MAA,MAEN,MAG,MALCB,MAF
CO_GI_LV_LT_20181011_Q02.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,48,50,0,0,0,2,0,0,0
CO_GI_LV_LT_20181011_Q03.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,19,9,0,0,0,4,0,0,68
CO_GI_LV_LT_20181011_Q04.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,21,0,0,0,3,3,0,0,73
CO_GI_LV_LT_20181011_Q05.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,20,24,0,0,0,0,0,0,56
CO_GI_LV_LT_20181011_Q06.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,2,16,0,1,26,4,1,0,50
CO_GI_LV_LT_20181011_Q07.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,3,71,0,0,8,3,0,0,15
CO_GI_LV_LT_20181011_Q08.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,18,1,0,0,3,4,0,0,74
CO_GI_LV_LT_20181011_Q09.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,39,0,0,0,2,3,3,0,53
CO_GI_LV_LT_20181011_Q10.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,64,0,0,35,1,0,0,0
CO_GI_LV_MT_20181010_Q01.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,1,1,0,91,0,0,0,0,7,0,0,0
CO_GI_LV_MT_20181010_Q02.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,4,0,0,60,36,0,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q03.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,23,53,0,0,0,2,0,0,22
CO_GI_LV_MT_20181010_Q04.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,61,38,0,0,0,1,0,0,0
CO_GI_LV_MT_20181010_Q05.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,53,16,0,0,2,3,0,0,26
CO_GI_LV_MT_20181010_Q06.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,68,30,0,0,0,2,0,0,0
CO_GI_LV_MT_20181010_Q07.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,79,21,0,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q08.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,76,20,0,0,0,3,0,0,1
CO_GI_LV_MT_20181010_Q09.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,92,8,0,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q10.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,6,0,76,15,0,0,0,3,0,0,0
CO_GI_PV_HT_20181012_Q01.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q02.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q03.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,2,0,98,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q04.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q05.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,1,0,99,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q06.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,1,0,99,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q07.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,1,0,99,0,0,0,0,0,0,0,0
