"","Name","Date","habitat","country","locality","site","strata","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Annotation.status","Annotation.area","CRB","MOG","WPOT","SC","LICHEN","SHAD","Unc","MAA","MAEN","MAG","MALCB","MAF","MAEF","MALA","SP"
"17","CO_GI_LM_LT_20181014_Q07.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,73,10,1,0,0,14,0,0,2,NA,NA,NA
"18","CO_GI_LM_LT_20181014_Q08.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,70,24,0,0,0,6,0,0,0,NA,NA,NA
"19","CO_GI_LM_LT_20181014_Q09.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"20","CO_GI_LM_LT_20181014_Q10.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,64,28,0,0,0,6,0,0,2,NA,NA,NA
"21","CO_GI_LM_MT_20181014_Q01.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"22","CO_GI_LM_MT_20181014_Q02.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,98,0,0,0,0,1,0,0,0,NA,NA,NA
"23","CO_GI_LM_MT_20181014_Q03.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,93,7,0,0,0,0,0,0,0,NA,NA,NA
"24","CO_GI_LM_MT_20181014_Q04.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,97,1,0,0,0,2,0,0,0,NA,NA,NA
"25","CO_GI_LM_MT_20181014_Q05.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"26","CO_GI_LM_MT_20181014_Q06.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,98,2,0,0,0,0,0,0,0,NA,NA,NA
"27","CO_GI_LM_MT_20181014_Q07.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,86,13,0,0,0,0,0,0,1,NA,NA,NA
"28","CO_GI_LM_MT_20181014_Q08.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,84,0,0,0,0,16,0,0,0,NA,NA,NA
"29","CO_GI_LM_MT_20181014_Q09.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,77,18,0,0,0,5,0,0,0,NA,NA,NA
"30","CO_GI_LM_MT_20181014_Q10.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,54,1,0,0,0,39,0,0,6,NA,NA,NA
"31","CO_GI_LV_HT_20181010_Q01.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,98,0,0,0,0,2,0,0,0,NA,NA,NA
"32","CO_GI_LV_HT_20181010_Q02.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"33","CO_GI_LV_HT_20181010_Q03.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,4,0,96,0,0,0,0,0,0,0,0,NA,NA,NA
