Name,Annotation status,Annotation area,CNTR,CRB,MOB,SP,WPOT,SU,SC,MAA,MAEN,MAENRC,MAFG,MAFR,MAG,MALCB,MASB,MASG
AR_PM_PE_HT_20181025_Q08.jpg,Confirmed,(Imported points; not specified),0,8,0,0,0,0,91,0,1,0,0,0,0,0,0,0
AR_PM_PE_HT_20181025_Q09.jpg,Confirmed,(Imported points; not specified),0,1,0,0,0,0,46,0,2,0,51,0,0,0,0,0
AR_PM_PE_HT_20181025_Q10.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,67,0,0,0,33,0,0,0,0,0
AR_PM_PE_LT_20181025_Q01.jpg,Confirmed,(Imported points; not specified),1,0,0,0,0,0,3,56,0,0,22,11,0,0,0,7
AR_PM_PE_LT_20181025_Q02.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,2,36,0,0,19,8,0,0,0,35
AR_PM_PE_LT_20181025_Q03.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,1,4,0,0,2,44,0,1,0,48
AR_PM_PE_LT_20181025_Q04.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,3,10,0,0,2,42,0,22,0,21
AR_PM_PE_LT_20181025_Q05.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,1,14,0,0,2,44,0,6,0,33
AR_PM_PE_LT_20181025_Q06.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,1,31,0,0,8,26,0,0,0,34
AR_PM_PE_LT_20181025_Q07.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,1,48,0,0,13,12,0,0,0,26
AR_PM_PE_LT_20181025_Q08.jpg,Confirmed,(Imported points; not specified),0,0,2,0,0,0,1,16,0,0,7,27,1,0,0,46
AR_PM_PE_LT_20181025_Q09.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,0,20,0,0,17,22,0,0,0,41
AR_PM_PE_LT_20181025_Q10.jpg,Confirmed,(Imported points; not specified),0,0,1,0,0,0,2,39,0,0,16,19,0,2,0,21
AR_PM_PE_MT_20181025_Q01.jpg,Confirmed,(Imported points; not specified),0,6,87,0,0,0,4,2,1,0,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q02.jpg,Confirmed,(Imported points; not specified),0,2,88,0,0,0,7,0,3,0,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q03.jpg,Confirmed,(Imported points; not specified),0,2,94,0,0,0,3,0,1,0,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q04.jpg,Confirmed,(Imported points; not specified),0,3,86,0,0,0,4,0,7,0,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q05.jpg,Confirmed,(Imported points; not specified),0,7,79,0,0,0,5,0,4,0,5,0,0,0,0,0
AR_PM_PE_MT_20181025_Q06.jpg,Confirmed,(Imported points; not specified),0,1,83,0,0,0,2,3,6,0,5,0,0,0,0,0
AR_PM_PE_MT_20181025_Q07.jpg,Confirmed,(Imported points; not specified),0,0,90,0,0,0,1,5,4,0,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q08.jpg,Confirmed,(Imported points; not specified),0,0,85,0,0,0,4,0,9,0,2,0,0,0,0,0
AR_PM_PE_MT_20181025_Q09.jpg,Confirmed,(Imported points; not specified),0,2,94,0,0,0,1,0,3,0,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q10.jpg,Confirmed,(Imported points; not specified),0,0,93,0,0,0,1,6,0,0,0,0,0,0,0,0
AR_PM_PL_HT_20181026_Q01.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,52,0,0,0,48,0,0,0,0,0
AR_PM_PL_HT_20181026_Q02.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,59,0,0,0,41,0,0,0,0,0
AR_PM_PL_HT_20181026_Q03.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,84,0,0,0,16,0,0,0,0,0
AR_PM_PL_HT_20181026_Q04.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,79,0,0,0,21,0,0,0,0,0
AR_PM_PL_HT_20181026_Q05.jpg,Confirmed,(Imported points; not specified),0,0,1,0,0,0,65,0,0,0,34,0,0,0,0,0
AR_PM_PL_HT_20181026_Q06.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,42,0,0,0,58,0,0,0,0,0
AR_PM_PL_HT_20181026_Q07.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,29,0,0,0,71,0,0,0,0,0
AR_PM_PL_HT_20181026_Q08.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,25,0,0,0,75,0,0,0,0,0
AR_PM_PL_HT_20181026_Q09.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,29,0,1,0,70,0,0,0,0,0
AR_PM_PL_HT_20181026_Q10.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,49,0,0,0,51,0,0,0,0,0
AR_PM_PL_LT_20181026_Q01.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,0,20,0,0,0,2,0,19,0,59
