"","Name","Date","habitat","country","locality","site","strata","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Annotation.status","Annotation.area","CNTR","CRB","MOB","SP","WPOT","SU","SC","MAA","MAEN","MAENRC","MAFG","MAFR","MAG","MALCB","MASB","MASG"
"16","AR_PM_PC_LT_20181105_Q06.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","LOWTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,0,0,0,6,0,39,19,0,0,1,13,0,1,0,21
"17","AR_PM_PC_LT_20181105_Q07.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","LOWTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,0,0,0,0,0,41,26,0,0,0,1,0,2,0,30
"18","AR_PM_PC_LT_20181105_Q08.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","LOWTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,0,0,0,0,0,48,15,0,0,0,6,0,0,0,31
"19","AR_PM_PC_LT_20181105_Q09.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","LOWTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,0,0,0,2,0,23,25,0,0,0,8,0,0,2,40
"20","AR_PM_PC_LT_20181105_Q10.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","LOWTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,0,0,0,1,0,44,14,0,0,0,6,0,1,0,34
"21","AR_PM_PC_MT_20181105_Q01.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","MIDTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,8,83,0,0,0,4,0,5,0,0,0,0,0,0,0
"22","AR_PM_PC_MT_20181105_Q02.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","MIDTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,4,87,0,0,0,6,0,3,0,0,0,0,0,0,0
"23","AR_PM_PC_MT_20181105_Q03.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","MIDTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,5,79,0,0,0,10,0,4,0,0,0,0,0,0,2
"24","AR_PM_PC_MT_20181105_Q04.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","MIDTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,1,85,0,0,0,8,0,4,0,0,0,0,0,0,2
"25","AR_PM_PC_MT_20181105_Q05.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","MIDTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,1,78,0,0,0,13,0,3,0,0,0,0,0,0,5
"26","AR_PM_PC_MT_20181105_Q06.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","MIDTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,2,88,0,0,0,6,0,4,0,0,0,0,0,0,0
