Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,CRB,MOB,CNTR,SP,WPOT,SU,SC,MAFG,MAEN,MAENRC,MAFR,MAA,MAG,MASB,MASG,MALCB
AR_PM_PC_MT_20181105_Q03_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8674,Visual,X: 0 - 100% / Y: 0 - 100%,5,82,0,0,0,0,5,2,4,0,0,0,0,0,2,0
AR_PM_PC_MT_20181105_Q04_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8675,Visual,X: 0 - 100% / Y: 0 - 100%,7,83,0,0,0,0,3,1,5,0,0,0,0,0,1,0
AR_PM_PC_MT_20181105_Q05_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8676,Visual,X: 0 - 100% / Y: 0 - 100%,2,84,0,0,0,0,5,2,3,0,2,0,0,0,2,0
AR_PM_PC_MT_20181105_Q06_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8677,Visual,X: 0 - 100% / Y: 0 - 100%,4,87,0,0,0,0,2,1,3,0,1,1,0,0,1,0
AR_PM_PC_MT_20181105_Q07_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8678,Visual,X: 0 - 100% / Y: 0 - 100%,7,89,0,0,0,0,2,1,1,0,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q08_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8679,Visual,X: 0 - 100% / Y: 0 - 100%,5,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q09_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8680,Visual,X: 0 - 100% / Y: 0 - 100%,4,86,0,0,0,0,6,3,1,0,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q10_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8681,Visual,X: 0 - 100% / Y: 0 - 100%,7,87,0,0,0,0,1,1,4,0,0,0,0,0,0,0
AR_PM_PC_LT_20181105_Q01_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8682,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,2,0,30,1,0,2,8,43,0,0,14,0
AR_PM_PC_LT_20181105_Q02_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8683,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,8,0,71,4,0,0,3,5,0,0,9,0
