Name,Annotation status,Annotation area,CIRRIPEDIO,DATIL,MEJI,P.imperfec,SPONGE1,TUBO,SAND,aBareRock,SHELLS,BRYOPSIS,CCA,CERAMIUM,CHAETOMORP,Cldph,COC,CODIUM,ColSin,DICTYOTA,ENTEROMORP,FILA,LEATHESIA,POLYSIPHON,RALFSIA,Scyto,ULVA,U.pinnatif
AR_PM_PC_HT_20181105_Q01_60.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q01_80.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q01_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q01.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,1,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q02_60.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q02_80.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q02_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q02.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,2,0,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,65,0,0,0,1,0,0,0
AR_PM_PC_HT_20181105_Q03_60.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q03_80.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q03_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q03.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q04_60.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q04_80.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q04_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q04.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q05_60.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q05_80.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q05_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q05.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q06_60.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,4,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q06_80.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,6,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q06_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,4,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q06.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,7,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1,0
AR_PM_PC_HT_20181105_Q07_60.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,10,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q07_80.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,14,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q07_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,8,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q07.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,21,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q08_60.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,2,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,2,0
AR_PM_PC_HT_20181105_Q08_80.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,4,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,2,0
AR_PM_PC_HT_20181105_Q08_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,1,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,3,0
AR_PM_PC_HT_20181105_Q08.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,4,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,2,0
AR_PM_PC_HT_20181105_Q09_60.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q09_80.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q09_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q09.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q10_60.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,2,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0
AR_PM_PC_HT_20181105_Q10_80.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,2,0
AR_PM_PC_HT_20181105_Q10_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,1,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,0,1,0
AR_PM_PC_HT_20181105_Q10.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,2,0
AR_PM_PC_HT_20191112_Q01.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
AR_PM_PC_HT_20191112_Q02.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,2,0
AR_PM_PC_HT_20191112_Q03.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
AR_PM_PC_HT_20191112_Q04.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
AR_PM_PC_HT_20191112_Q05.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1,0
AR_PM_PC_HT_20191112_Q06.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
AR_PM_PC_HT_20191112_Q07.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,13,45,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
AR_PM_PC_HT_20191112_Q08.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
AR_PM_PC_HT_20191112_Q09.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
AR_PM_PC_HT_20191112_Q10.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
