Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,CRB,MOB,CNTR,WPOT,SC,MAF,MAEN,MAA,MAG,MAS,MALCB
AR_PM_PC_MT_20181105_Q07.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,7,89,0,0,2,1,1,0,0,0,0
AR_PM_PC_MT_20181105_Q08.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,5,94,0,0,1,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q09.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,4,86,0,0,6,3,1,0,0,0,0
AR_PM_PC_MT_20181105_Q10.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,7,87,0,0,1,1,4,0,0,0,0
AR_PM_PC_LT_20181105_Q01.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,2,30,9,2,43,0,14,0
AR_PM_PC_LT_20181105_Q02.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,8,71,7,0,5,0,9,0
AR_PM_PC_LT_20181105_Q03.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,62,4,0,22,0,12,0
AR_PM_PC_LT_20181105_Q04.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,18,59,2,0,21,0,0,0
AR_PM_PC_LT_20181105_Q05.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,7,54,1,0,6,0,32,0
AR_PM_PC_LT_20181105_Q06.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,5,62,6,0,10,0,17,0
AR_PM_PC_LT_20181105_Q07.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,4,57,3,0,16,0,20,0
AR_PM_PC_LT_20181105_Q08.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,63,6,0,23,0,8,0
