Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Camera,Depth,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,MAEN,MAA,MAF,MAG,MOG,WPOT,CRB,SC
CO_GI_LM_MT_20181014_Q03.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,5,0,0,0,0,0,0,95
CO_GI_LM_MT_20181014_Q04.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,3,0,0,0,0,0,0,97
CO_GI_LM_MT_20181014_Q05.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,2,0,0,0,0,0,0,98
CO_GI_LM_MT_20181014_Q06.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,1,0,0,0,0,0,0,99
CO_GI_LM_MT_20181014_Q07.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,20,0,0,0,0,0,0,80
CO_GI_LM_MT_20181014_Q08.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,25,0,0,0,0,0,0,75
CO_GI_LM_MT_20181014_Q09.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,7,0,0,0,0,0,0,93
CO_GI_LM_MT_20181014_Q10.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,50,0,9,0,0,0,0,41
CO_GI_LV_HT_20181010_Q01.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_LV_HT_20181010_Q02.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,2,0,0,0,0,98
CO_GI_LV_HT_20181010_Q03.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,5,0,0,95
CO_GI_LV_HT_20181010_Q04.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,2,0,0,98
CO_GI_LV_HT_20181010_Q05.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_LV_HT_20181010_Q06.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,10,0,0,90
CO_GI_LV_HT_20181010_Q07.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,1,0,0,99
CO_GI_LV_HT_20181010_Q08.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,1,0,1,0,0,98
CO_GI_LV_HT_20181010_Q09.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_LV_HT_20181010_Q10.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,3,0,0,97
CO_GI_LV_LT_20181011_Q01.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,2,0,83,15,0,0,0,0
CO_GI_LV_LT_20181011_Q02.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,47,0,0,0,0,0,0,53
CO_GI_LV_LT_20181011_Q03.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,1,2,71,0,0,0,0,26
CO_GI_LV_LT_20181011_Q04.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,4,3,80,1,0,0,0,12
CO_GI_LV_LT_20181011_Q05.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,32,0,57,1,0,0,0,10
CO_GI_LV_LT_20181011_Q06.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,28,8,64,0,0,0,0,0
CO_GI_LV_LT_20181011_Q07.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,62,2,24,1,0,0,0,11
