Substrate: Consolidated (hard) (SC),1915,50,3,60,3,7,0,0,1
Macroalgae: Filamentous / f... (MAF),64,248,20,5,1,8,0,1,0
Macroalgae: Sheet-like / me... (MAS),8,14,217,0,0,5,0,0,0
Macroalgae: Encrusting (MAEN),88,1,0,122,0,1,0,0,0
Molluscs: Bivalves (MOB),0,2,0,1,138,0,0,0,1
Macroalgae: Articulated cal... (MAA),5,5,13,2,1,55,0,1,0
Worms: Polychaetes: Tube worms (WPOT),10,1,4,12,0,1,0,0,0
Macroalgae: Large canopy-fo... (MALCB),0,0,3,0,0,0,0,0,0
Crustacea: Barnacles (CRB),1,0,0,0,0,0,0,0,0
