"Name","Date","habitat","country","locality","site","strata","Height (cm)","Latitude","Longitude","Camera","Photographer","Water quality","Strobes","Framing gear used","White balance card","Comments"
"AR_PM_PE_HT_20181025_Q07_Random.jpg","10/25/2018","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina"
"AR_PM_PE_HT_20181025_Q08_Random.jpg","10/25/2018","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina"
"AR_PM_PE_HT_20181025_Q09_Random.jpg","10/25/2018","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina"
"AR_PM_PE_HT_20181025_Q10_Random.jpg","10/25/2018","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina"
"AR_PM_PE_LT_20181025_Q01_Random.jpg","10/25/2018","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina"
"AR_PM_PE_LT_20181025_Q02_Random.jpg","10/25/2018","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina"
"AR_PM_PE_LT_20181025_Q03_Random.jpg","10/25/2018","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina"
"AR_PM_PE_LT_20181025_Q04_Random.jpg","10/25/2018","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina"
"AR_PM_PE_LT_20181025_Q05_Random.jpg","10/25/2018","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina"
"AR_PM_PE_LT_20181025_Q06_Random.jpg","10/25/2018","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina"
