Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation.status,Annotation.area,CNTR.A,CRB.A,MOB.A,SP.A,WPOT.A,SU.A,SC.A,MAA.A,MAEN.A,MAENRC.A,MAFG.A,MAFR.A,MAG.A,MALCB.A,MASB.A,MASG.A,CRB,MOB,CNTR,SP,WPOT,SU,SC,MAFG,MAEN,MAENRC,MAFR,MAA,MAG,MASB,MASG,MALCB
AR_PM_PC_LT_20181105_Q01.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,60,-42.78511,-64.95264,,COOLPIX AW50,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8672,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,42.00,24.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,2.00,0.00,30.00,1.00,0.00,2.00,8.00,43.00,0.00,0.00,14.00,0.00
AR_PM_PC_LT_20181105_Q02.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,60,-42.78511,-64.95264,,COOLPIX AW51,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8673,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,10.00,0.00,42.00,4.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,8.00,0.00,71.00,4.00,0.00,0.00,3.00,5.00,0.00,0.00,9.00,0.00
AR_PM_PC_LT_20181105_Q03.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,60,-42.78511,-64.95264,,COOLPIX AW52,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8674,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,32.00,40.00,0.00,0.00,1.00,7.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,0.00,0.00,0.00,4.00,22.00,0.00,0.00,12.00,0.00
AR_PM_PC_LT_20181105_Q04.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,60,-42.78511,-64.95264,,COOLPIX AW53,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8675,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,1.00,0.00,4.00,0.00,41.00,10.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,1.00,18.00,0.00,58.00,0.00,0.00,0.00,2.00,21.00,0.00,0.00,0.00,0.00
AR_PM_PC_LT_20181105_Q05.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,60,-42.78511,-64.95264,,COOLPIX AW54,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8676,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,19.00,5.00,0.00,0.00,1.00,10.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,7.00,0.00,54.00,0.00,0.00,0.00,1.00,6.00,0.00,0.00,32.00,0.00
AR_PM_PC_LT_20181105_Q06.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,60,-42.78511,-64.95264,,COOLPIX AW55,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8677,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,1.00,0.00,43.00,22.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,5.00,0.00,62.00,0.00,0.00,0.00,6.00,10.00,0.00,0.00,17.00,0.00
AR_PM_PC_LT_20181105_Q07.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,60,-42.78511,-64.95264,,COOLPIX AW56,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8678,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,3.00,0.00,41.00,31.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,4.00,0.00,57.00,0.00,0.00,0.00,3.00,16.00,0.00,0.00,20.00,0.00
AR_PM_PC_LT_20181105_Q08.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,60,-42.78511,-64.95264,,COOLPIX AW57,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8679,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,51.00,19.00,0.00,0.00,3.00,4.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,0.00,0.00,6.00,23.00,0.00,0.00,8.00,0.00
AR_PM_PC_LT_20181105_Q09.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,60,-42.78511,-64.95264,,COOLPIX AW58,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8680,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,24.00,17.00,0.00,0.00,2.00,11.00,0.00,0.00,0.00,46.00,0.00,0.00,0.00,0.00,2.00,0.00,48.00,0.00,0.00,0.00,15.00,18.00,0.00,0.00,17.00,0.00
AR_PM_PC_LT_20181105_Q10.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,60,-42.78511,-64.95264,,COOLPIX AW59,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8681,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,43.00,19.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,8.00,0.00,58.00,1.00,0.00,0.00,7.00,10.00,0.00,0.00,16.00,0.00
