Name1,Name2,Annotation status,Annotation area,A,BRY,CNCA,CNTR,CR,CRB,ESS,ESU,MOB,MOCH,MOG,SP,WPOT,SU,SC,LICHEN,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAENR,MAF,MAG,MALA,MALCB,MAS
USMAMH201807_599_high_(3)_human.JPG,USMAMH201807_599_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,88,2,0,0,0,0,0,0,0
USMAMH201807_599_high_(4)_human.JPG,USMAMH201807_599_high_(4).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,2,0,0,80,0,0,0,0,0,0,0,0
USMAMH201807_600_high_(3)_human.JPG,USMAMH201807_600_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,13,0,0,4,0,0,0,0,0,68,0,0,0,0,11,1,3,0,0,0,0,0,0
USMAMH201905_139_low_(3)_human.JPG,USMAMH201905_139_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,3,0,0,6,0,3,0,0,0,4,0,0,0,0,81,0,3,0,0,0,0,0,0
USMAMH201905_140_low_(3)_human.JPG,USMAMH201905_140_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,8,0,0,31,0,1,0,0,0,3,0,0,0,0,52,0,5,0,0,0,0,0,0
USMAMH201905_419_low_(3)_human.JPG,USMAMH201905_419_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,16,0,0,26,0,1,0,0,0,15,0,0,0,0,42,0,0,0,0,0,0,0,0
USMAMH201905_433_low_(2)_human.JPG,USMAMH201905_433_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,19,0,0,2,0,3,0,0,0,62,0,2,0,0,12,0,0,0,0,0,0,0,0
USMAMH201905_438_low_(2)_human.JPG,USMAMH201905_438_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,31,0,0,5,0,0,0,0,0,17,0,1,0,0,43,0,3,0,0,0,0,0,0
USMAMH201905_442_high_(2)_human.JPG,USMAMH201905_442_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,2,5,0,0,0,0,3,0,0,0,88,0,0,0,0,2,0,0,0,0,0,0,0,0
USMAMH201905_445_high_(3)_human.JPG,USMAMH201905_445_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,9,0,0,0,0,1,0,0,0,75,0,0,0,0,15,0,0,0,0,0,0,0,0
USMAMH201905_466_high_(2)_human.JPG,USMAMH201905_466_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,82,10,2,0,0,0,0,0,0
USMAMH201905_466_high_(3)_human.JPG,USMAMH201905_466_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,5,0,0,23,0,2,0,0,0,0,0,0,0,0,59,7,4,0,0,0,0,0,0
USMAMH201905_488_low_(3)_human.JPG,USMAMH201905_488_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,1,0,0,71,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
USMAMH201905_503_high_(2)_human.JPG,USMAMH201905_503_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,11,0,0,1,0,1,0,0,0,11,0,0,0,0,76,0,0,0,0,0,0,0,0
USMAMH201905_503_high_(3)_human.JPG,USMAMH201905_503_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,28,0,0,3,0,1,0,0,0,11,0,0,0,0,46,0,11,0,0,0,0,0,0
USMAMH201905_503_high_(4)_human.JPG,USMAMH201905_503_high_(4).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,33,0,0,3,0,2,0,0,0,13,0,0,0,0,39,0,10,0,0,0,0,0,0
USMAMH201905_516_low_(2)_human.JPG,USMAMH201905_516_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,8,0,0,10,0,1,0,0,0,20,0,0,0,0,59,0,2,0,0,0,0,0,0
USMAMH201905_516_low_(3)_human.JPG,USMAMH201905_516_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,23,0,0,18,0,1,0,0,0,22,0,0,0,0,31,0,5,0,0,0,0,0,0
USMAMH201905_552_low_(5)_human.JPG,USMAMH201905_552_low_(5).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,11,0,0,0,6,0,0,41,0,5,0,0,0,14,0,0,0,0,21,0,2,0,0,0,0,0,0
USMAMH201905_592_low_(2)_human.JPG,USMAMH201905_592_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
USMAMH201905_592_low_(3)_human.JPG,USMAMH201905_592_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,4,0,0,28,0,1,0,0,0,1,0,0,0,0,24,0,42,0,0,0,0,0,0
USMAMH201905_594_low_(2)_human.JPG,USMAMH201905_594_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,58,0,0,18,0,4,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0
USMAMH201905_596_low_(3)_human.JPG,USMAMH201905_596_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,10,0,0,0,0,3,0,0,0,70,0,1,0,0,11,0,5,0,0,0,0,0,0
USMAMH201905_597_high_(2)_human.JPG,USMAMH201905_597_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,2,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0
USMAMH201905_598_high_(3)_human.JPG,USMAMH201905_598_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,22,0,0,0,0,0,0,0,0,32,0,0,0,0,18,0,28,0,0,0,0,0,0
USMAMH201905_599_high_(3)_human.JPG,USMAMH201905_599_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,31,0,0,0,4,0,0,2,0,0,0,0,0,13,0,0,2,0,47,0,1,0,0,0,0,0,0
USMAMH201905_600_high_(2)_human.JPG,USMAMH201905_600_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,7,0,0,1,0,0,0,0,0,80,0,0,0,0,12,0,0,0,0,0,0,0,0
USMAPH201807_405_low_(4)_human.JPG,USMAPH201807_405_low_(4).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,9,0,0,9,0,0,0,0,0,10,0,0,0,0,71,0,0,0,1,0,0,0,0
USMAPH201807_422_high__human.JPG,USMAPH201807_422_high_.JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,21,0,0,12,0,1,0,0,0,25,0,0,0,0,36,0,5,0,0,0,0,0,0
USMAPH201807_426_high__human.JPG,USMAPH201807_426_high_.JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,26,0,0,6,0,0,0,0,0,5,0,0,0,0,61,0,2,0,0,0,0,0,0
USMAPH201807_428_high_(2)_human.JPG,USMAPH201807_428_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,79,0,0,0,0,0,0,0,0
USMAPH201807_435_low__human.JPG,USMAPH201807_435_low_.JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,41,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
USMAPH201807_441_low_(2)_human.JPG,USMAPH201807_441_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
USMAPH201807_441_low_(3)_human.JPG,USMAPH201807_441_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,89,0,3,0,0,0,0,0,0
USMAPH201807_444_low_(2)_human.JPG,USMAPH201807_444_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,29,0,0,0,0,0,0,0,0,36,0,0,0,0,34,0,1,0,0,0,0,0,0
USMAPH201807_450_low_(1)_human.JPG,USMAPH201807_450_low_(1).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,29,0,0,1,0,0,0,0,0,44,0,0,0,0,26,0,0,0,0,0,0,0,0
USMAPH201807_455_low_(2)_human.JPG,USMAPH201807_455_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,89,0,0,0,0,0,0,0,0
USMAPH201807_455_low_(3)_human.JPG,USMAPH201807_455_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,15,0,0,0,0,0,0,0,0,6,0,3,0,0,73,0,3,0,0,0,0,0,0
USMAPH201807_461_low_(2)_human.JPG,USMAPH201807_461_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
USMAPH201807_483_high_(4)_human.JPG,USMAPH201807_483_high_(4).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,34,0,0,3,0,0,0,0,0,2,0,1,0,0,57,0,0,0,3,0,0,0,0
USMAPH201807_494_low_(1)_human.JPG,USMAPH201807_494_low_(1).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,19,0,0,0,0,1,0,0,0,16,0,2,0,0,62,0,0,0,0,0,0,0,0
USMAPH201807_494_low_(2)_human.JPG,USMAPH201807_494_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,1,49,0,0,0,0,1,0,0,0,18,0,4,0,0,27,0,0,0,0,0,0,0,0
USMAPH201807_496_high_(8)_human.JPG,USMAPH201807_496_high_(8).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,9,0,0,18,1,0,0,0,0,3,0,0,0,0,67,0,0,0,0,0,2,0,0
USMAPH201807_499_high__human.JPG,USMAPH201807_499_high_.JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,15,0,0,19,0,4,0,0,0,36,0,0,0,0,18,0,6,0,0,0,2,0,0
USMAPH201807_529_high__human.JPG,USMAPH201807_529_high_.JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,22,0,0,13,0,0,0,0,0,11,0,0,0,0,53,0,1,0,0,0,0,0,0
USMAPH201905_408_low_(2)_human.JPG,USMAPH201905_408_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,71,0,0,0,0,5,0,0,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0
USMAPH201905_422_high_(2)_human.JPG,USMAPH201905_422_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,9,0,0,2,0,0,0,0,0,1,0,0,0,0,88,0,0,0,0,0,0,0,0
USMAPH201905_422_high_(3)_human.JPG,USMAPH201905_422_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,33,0,0,3,0,5,0,0,0,19,0,0,0,0,39,0,1,0,0,0,0,0,0
USMAPH201905_426_high_(2)_human.JPG,USMAPH201905_426_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,40,0,0,5,0,0,0,0,0,26,0,1,0,0,20,0,8,0,0,0,0,0,0
USMAPH201905_435_low_(3)_human.JPG,USMAPH201905_435_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,57,0,0,0,0,1,0,0,0,7,0,0,0,0,34,0,1,0,0,0,0,0,0
USMAPH201905_441_low_(2)_human.JPG,USMAPH201905_441_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,6,0,0,0,0,3,0,0,0,12,0,0,0,0,73,0,6,0,0,0,0,0,0
USMAPH201905_441_low_(3)_human.JPG,USMAPH201905_441_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,1,13,0,0,0,1,3,0,0,0,24,0,0,0,0,21,0,37,0,0,0,0,0,0
USMAPH201905_444_low_(2)_human.JPG,USMAPH201905_444_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
USMAPH201905_444_low_(3)_human.JPG,USMAPH201905_444_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,5,0,0,0,0,0,0
USMAPH201905_450_low_(2)_human.JPG,USMAPH201905_450_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,34,0,0,1,0,0,0,0,0,36,0,1,0,0,28,0,0,0,0,0,0,0,0
USMAPH201905_455_low_(2)_human.JPG,USMAPH201905_455_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,28,0,0,0,0,0,0,0,0,12,0,0,0,0,58,0,2,0,0,0,0,0,0
USMAPH201905_455_low_(3)_human.JPG,USMAPH201905_455_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,29,0,0,4,0,1,0,0,0,27,0,0,0,0,30,0,9,0,0,0,0,0,0
USMAPH201905_460_high_(2)_human.JPG,USMAPH201905_460_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,67,0,0,1,0,4,0,0,0,17,0,0,0,0,11,0,0,0,0,0,0,0,0
USMAPH201905_461_low_(3)_human.JPG,USMAPH201905_461_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,54,0,0,0,0,4,0,0,0,17,0,1,0,0,22,0,2,0,0,0,0,0,0
USMAPH201905_469_high_(2)_human.JPG,USMAPH201905_469_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,18,0,0,0,0,2,0,0,0,70,0,0,0,0,10,0,0,0,0,0,0,0,0
USMAPH201905_483_high_(3)_human.JPG,USMAPH201905_483_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,63,0,0,1,0,9,0,0,0,4,0,0,0,0,23,0,0,0,0,0,0,0,0
USMAPH201905_494_low_(2)_human.JPG,USMAPH201905_494_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,10,0,0,0,1,0,0,0,0,10,0,1,0,0,78,0,0,0,0,0,0,0,0
USMAPH201905_494_low_(3)_human.JPG,USMAPH201905_494_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,56,0,0,1,0,0,0,0,0,15,0,0,0,0,27,0,1,0,0,0,0,0,0
USMAPH201905_499_high_(2)_human.JPG,USMAPH201905_499_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,35,0,0,12,0,7,0,0,0,22,0,1,0,0,16,4,3,0,0,0,0,0,0
USMAPH201905_551_low_(2)_human.JPG,USMAPH201905_551_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,93,0,0,0,0,0,0,0,0
USMAPH201905_551_low_(3)_human.JPG,USMAPH201905_551_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,1,0,0,0,0,0,0
USMAPH201905_gap1_high_(3)_human.JPG,USMAPH201905_gap1_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,24,0,0,22,0,0,0,0,0,2,0,0,0,0,51,0,1,0,0,0,0,0,0
USMAPH201905_gap2_high_(3)_human.JPG,USMAPH201905_gap2_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,11,0,0,2,0,1,0,0,0,1,0,0,0,0,80,0,5,0,0,0,0,0,0
USMAPH201905_gap3_high_(2)_human.JPG,USMAPH201905_gap3_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,68,0,0,10,0,2,0,0,0,8,0,0,0,0,11,0,0,0,0,0,1,0,0
USMECH201808_189_low_(2)_human.JPG,USMECH201808_189_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,97,0,0,0,0,0,0,0,0
USMECH201808_189_low_(3)_human.JPG,USMECH201808_189_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,87,0,8,0,0,0,0,0,0
USMECH201808_190_low_(2)_human.JPG,USMECH201808_190_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,43,0,0,0,0,1,0,0,0,5,0,0,0,0,50,0,1,0,0,0,0,0,0
USMECH201808_191_low_(2)_human.JPG,USMECH201808_191_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,10,0,0,2,0,0,0,0,0,3,0,0,0,0,72,8,0,0,0,0,5,0,0
USMECH201808_191_low_(3)_human.JPG,USMECH201808_191_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,18,0,0,16,0,0,0,0,0,3,0,0,0,0,48,9,0,0,0,0,6,0,0
USMECH201808_192_low_(2)_human.JPG,USMECH201808_192_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,14,0,0,2,0,0,0,0,0,4,0,0,0,0,79,0,1,0,0,0,0,0,0
USMECH201808_192_low_(3)_human.JPG,USMECH201808_192_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
USMECH201808_193_low_(2)_human.JPG,USMECH201808_193_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,9,0,0,8,0,0,0,0,0,1,0,0,0,0,81,0,0,0,0,0,1,0,0
USMECH201808_193_low_(3)_human.JPG,USMECH201808_193_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,3,0,0
USMECH201808_194_low_(3)_human.JPG,USMECH201808_194_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,76,0,0,2,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0
