Name,Annotation status,Annotation area,A,BRY,CNCA,CNTR,CR,CRB,ESS,ESU,MOB,MOCH,MOG,SP,WPOT,SU,SC,LICHEN,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAENR,MAF,MAG,MALA,MALCB,MAS
USMECH201808_196_high_(3)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,23.000,0.000,0.000,3.000,0.000,4.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,41.000,0.000,16.000,0.000,6.000,0.000,0.000,0.000,0.000
USMECH201808_198_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201808_198_high_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,98.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201808_198_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,81.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201808_198_high_(3)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,82.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201808_199_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,95.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201808_199_high_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,98.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201808_199_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,2.000,0.000,0.000,0.000,3.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,9.000,0.000,2.000,0.000,0.000,78.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000
USMECH201808_199_high_(3)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,78.000,0.000,7.000,0.000,1.000,0.000,0.000,0.000,0.000
USMECH201808_200_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,8.000,0.000,4.000,0.000,0.000,0.000,23.000,0.000,0.000,3.000,0.000,11.000,3.000,0.000,0.000,17.000,0.000,7.000,0.000,0.000
USMECH201808_200_high_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,44.000,0.000,0.000,7.000,0.000,4.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,17.000,0.000,4.000,0.000,9.000,0.000,0.000,0.000,0.000
