Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,SHAD,Unc,MAA,MAEC
AR_PM_PE_LT_20181025_Q05,visual,AR,PE,LT,0,0,1,0,1,0,0,1,2,0,0,9,0
AR_PM_PE_LT_20181025_Q06,visual,AR,PE,LT,0,0,1,0,0,0,0,0,5,0,0,18,0
AR_PM_PE_LT_20181025_Q07,visual,AR,PE,LT,0,0,1,0,2,0,0,1,2,0,0,58,0
AR_PM_PE_LT_20181025_Q08,visual,AR,PE,LT,0,0,0,0,1,0,0,1,3,0,0,7,0
AR_PM_PE_LT_20181025_Q09,visual,AR,PE,LT,0,0,1,0,1,0,0,1,1,0,0,13,0
AR_PM_PE_LT_20181025_Q10,visual,AR,PE,LT,0,0,2,0,1,0,0,1,4,0,0,50,0
AR_PM_PL_HT_20181026_Q01,visual,AR,PL,HT,0,0,0,0,2,0,0,0,70,0,0,0,0
AR_PM_PL_HT_20181026_Q02,visual,AR,PL,HT,0,0,0,0,1,0,0,0,75,0,0,0,0
AR_PM_PL_HT_20181026_Q03,visual,AR,PL,HT,0,0,0,0,1,0,0,0,90,0,0,0,0
AR_PM_PL_HT_20181026_Q04,visual,AR,PL,HT,0,0,0,0,2,0,0,0,84,0,0,0,0
AR_PM_PL_HT_20181026_Q05,visual,AR,PL,HT,0,0,0,0,2,0,0,0,84,0,0,0,0
AR_PM_PL_HT_20181026_Q06,visual,AR,PL,HT,0,0,0,0,3,0,0,0,73,0,0,0,0
AR_PM_PL_HT_20181026_Q07,visual,AR,PL,HT,0,0,0,0,1,0,0,0,77,0,0,0,0
AR_PM_PL_HT_20181026_Q08,visual,AR,PL,HT,0,0,0,0,1,0,0,0,57,0,0,0,0
AR_PM_PL_HT_20181026_Q09,visual,AR,PL,HT,0,0,0,0,0,0,0,0,73,0,0,0,0
AR_PM_PL_HT_20181026_Q10,visual,AR,PL,HT,0,0,0,0,1,0,0,0,79,0,0,0,0
AR_PM_PL_MT_20181026_Q01,visual,AR,PL,MT,0,0,0,1,80,0,0,0,1,0,0,4,0
AR_PM_PL_MT_20181026_Q02,visual,AR,PL,MT,0,0,0,4,78,0,0,0,1,0,0,0,0
AR_PM_PL_MT_20181026_Q03,visual,AR,PL,MT,0,0,0,3,67,0,0,0,3,0,0,1,0
AR_PM_PL_MT_20181026_Q04,visual,AR,PL,MT,0,0,0,10,65,0,0,0,4,0,0,0,0
AR_PM_PL_MT_20181026_Q05,visual,AR,PL,MT,0,0,0,0,90,0,0,0,3,0,0,3,0
AR_PM_PL_MT_20181026_Q06,visual,AR,PL,MT,0,0,0,3,83,0,0,0,4,0,0,0,0
AR_PM_PL_MT_20181026_Q07,visual,AR,PL,MT,0,0,0,1,87,0,0,0,1,0,0,3,0
AR_PM_PL_MT_20181026_Q08,visual,AR,PL,MT,0,0,0,1,94,0,0,0,1,0,0,2,0
AR_PM_PL_MT_20181026_Q09,visual,AR,PL,MT,0,0,0,2,93,0,0,0,1,0,0,1,0
AR_PM_PL_MT_20181026_Q10,visual,AR,PL,MT,0,0,0,1,89,0,0,0,2,0,0,1,0
AR_PM_PL_LT_20181026_Q01,visual,AR,PL,LT,0,0,0,0,0,0,0,0,0,0,0,55,0
AR_PM_PL_LT_20181026_Q02,visual,AR,PL,LT,0,0,1,0,1,0,0,1,3,0,0,59,0
AR_PM_PL_LT_20181026_Q03,visual,AR,PL,LT,0,0,0,0,1,0,0,0,0,0,0,52,0
AR_PM_PL_LT_20181026_Q04,visual,AR,PL,LT,0,0,0,0,1,0,0,0,1,0,0,49,0
AR_PM_PL_LT_20181026_Q05,visual,AR,PL,LT,0,0,0,0,1,0,0,0,1,0,0,71,0
