Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
USMAMH201807_598_high_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_599_high_(3).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_599_high_(3)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_600_high_(3).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_600_high_(3)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201905_139_low_(3).JPG,2019-05-22,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201905_139_low_(3)_robot.JPG,2019-05-22,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201905_442_high_(2).JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201905_442_high_(2)_robot.JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201905_445_high_(3).JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201905_445_high_(3)_robot.JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201905_466_high_(2).JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201905_466_high_(2)_robot.JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201905_503_high_(2).JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201905_503_high_(2)_robot.JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201905_552_low_(5).JPG,2019-05-22,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201905_552_low_(5)_robot.JPG,2019-05-22,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201905_596_low_(3).JPG,2019-05-22,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201905_596_low_(3)_robot.JPG,2019-05-22,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201905_598_high_(3).JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201905_598_high_(3)_robot.JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201905_599_high_(3).JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201905_599_high_(3)_robot.JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201905_600_high_(2).JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201905_600_high_(2)_robot.JPG,2019-05-21,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAPH201807_405_low_(4).JPG,2018-07-16,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.417115,-70.906804,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAPH201807_405_low_(4)_robot.JPG,2018-07-16,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.417115,-70.906804,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAPH201807_422_high_.JPG,2018-07-16,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.417115,-70.906804,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAPH201807_422_high__robot.JPG,2018-07-16,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.417115,-70.906804,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAPH201807_426_high_.JPG,2018-07-16,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.417115,-70.906804,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
